,AGE,SEX,CLASS,INCTOT
22573,55,M,um,78185
87185,21,M,lm,8784
163888,56,M,w,9900
119439,61,M,lm,48760
144834,23,M,l,15721
106104,56,F,lm,31345
19653,21,F,um,10000
13695,19,M,um,14000
155199,31,M,w,3000
133867,67,M,lm,14796
85938,17,M,lm,300
139130,28,M,lm,35050
32536,25,F,lm,39800
57065,25,F,um,3000
79852,43,M,um,60000
10113,57,M,um,45005
129169,30,M,lm,4640
176733,52,F,l,9935
166816,50,F,w,17592
163898,35,F,l,3300
115238,63,M,lm,30002
26718,17,M,um,16691
35479,35,F,um,55000
80744,24,F,um,32020
103473,17,F,w,7979
158022,46,F,w,1000
50164,43,F,um,10180
897,32,M,u,610005
41730,18,F,um,10000
97564,34,M,lm,65000
155614,20,F,w,0
102512,80,F,lm,750
34858,38,M,lm,41000
42225,18,F,lm,0
3077,27,M,um,230000
22850,44,F,um,25000
56194,46,M,um,31006
59755,37,F,um,52016
98371,80,F,lm,14260
150543,26,M,w,8011
94085,27,F,lm,30010
142160,24,M,lm,33532
179174,21,M,l,7500
46792,60,M,um,85000
3684,31,F,um,180010
5545,46,M,um,155034
23424,62,M,lm,48010
90386,67,M,lm,18695
176226,23,F,l,10063
75319,58,M,um,83848
117382,15,F,lm,0
167443,32,F,w,17000
167974,61,M,w,16709
53808,27,M,lm,40000
22460,18,F,um,4500
150546,26,F,w,9
146594,40,F,lm,30420
26704,45,M,um,145000
156312,35,F,w,580
63522,20,M,lm,6000
89309,68,F,lm,42280
50306,30,M,lm,55050
185009,38,F,l,0
39888,65,M,um,19260
82577,56,M,um,38615
18344,48,F,um,59162
124032,61,F,l,0
172076,78,F,l,13647
55310,33,M,um,105055
115089,54,M,lm,51495
94410,16,M,lm,0
125010,40,M,lm,45000
10779,59,M,um,95075
60158,29,F,um,76000
81114,52,F,um,3660
17300,49,F,um,68550
43553,16,M,um,4016
93885,34,F,lm,26000
65416,34,M,um,94010
95022,18,M,lm,5025
109115,80,F,lm,7800
114432,46,F,lm,18000
143002,41,M,lm,15000
9743,52,F,lm,46000
164292,43,F,w,9696
74071,29,M,w,25000
89262,21,F,lm,11400
35312,54,F,um,42017
136760,42,M,w,18720
98439,21,M,lm,40000
184482,66,F,l,0
38977,33,M,um,45015
105089,62,F,lm,4086
107304,85,M,lm,22380
160577,65,F,w,9659
55819,63,M,um,23012
95762,17,M,lm,13
90441,57,F,lm,29085
45690,21,F,um,7500
113250,70,F,lm,21600
121792,46,F,lm,39001
125785,60,M,lm,36080
140684,30,M,lm,16600
21791,33,F,um,166600
147867,57,F,w,0
46675,31,F,um,37010
105711,22,F,lm,3000
24212,23,F,um,35000
80024,31,M,um,25000
127243,40,F,lm,8003
23343,63,M,um,148784
60161,26,M,um,40000
127204,32,M,w,23005
142297,80,F,lm,33400
147912,35,F,w,0
16488,73,M,um,169700
128422,33,M,lm,42035
51048,33,F,um,55570
44877,37,F,um,22900
127001,30,F,lm,19610
68818,50,M,um,65060
120865,85,F,lm,47940
22141,60,M,um,110000
169870,72,F,l,3659
69081,25,F,um,60010
139693,37,M,lm,10000
59184,56,M,um,45000
105329,80,F,lm,8301
164223,65,M,w,3400
93260,57,M,lm,60010
89782,31,F,lm,40
147314,79,M,lm,18005
133075,18,M,lm,5
99649,28,M,lm,40000
10882,68,M,um,177962
108921,57,M,lm,18684
42879,60,M,um,22000
27627,39,F,um,2610
80858,61,F,um,7401
68760,28,F,um,36050
25141,67,F,um,26942
25251,33,F,um,16005
133965,85,F,lm,8796
81661,35,F,um,30100
11917,36,M,um,103707
147154,31,M,lm,27010
126136,52,M,lm,0
52856,62,M,um,75012
167848,35,M,w,0
161471,44,F,w,0
6384,18,F,w,19000
134876,43,F,lm,18285
144811,22,M,lm,0
162281,19,F,w,12000
106535,42,M,lm,47005
11438,50,F,um,18586
8334,31,F,um,57816
166864,55,F,l,8772
184202,28,F,l,0
53407,15,M,um,0
108727,22,M,lm,32100
4244,71,M,um,310001
118423,63,M,lm,49550
175055,85,M,l,11084
76064,50,F,um,0
18076,38,M,um,120100
69829,71,M,um,54300
4619,29,F,um,230564
46505,26,F,um,0
145324,34,M,w,21712
28225,35,M,um,75010
173691,15,M,l,0
6797,50,M,um,211474
88759,54,M,lm,22000
105016,46,F,lm,5809
135307,69,M,lm,6600
29117,43,F,um,148300
70395,28,M,um,49000
125398,71,M,lm,16860
84844,17,F,um,200
175346,80,F,l,10868
25534,33,M,um,56008
5386,57,F,um,50140
117013,42,M,lm,50013
34079,39,F,um,6020
66232,30,M,um,25000
50555,20,F,um,9674
118349,30,F,lm,14560
118215,50,M,lm,49845
170542,21,F,l,0
163409,55,M,w,20000
128243,18,M,lm,800
146091,69,F,lm,30866
64711,42,F,um,50000
37198,41,F,um,56129
112083,52,M,lm,53787
58130,42,F,um,101750
105288,30,F,lm,28003
53532,55,M,um,65020
156900,69,M,w,24099
87758,41,M,lm,73000
17301,47,F,um,74048
6503,17,F,um,5
146795,37,F,lm,30243
60172,19,M,um,0
135650,61,F,lm,37599
40267,64,M,um,15000
23637,52,M,um,154600
108777,54,F,lm,56058
39680,60,F,um,126714
120160,26,M,lm,43000
128884,23,M,lm,24000
97162,15,F,lm,21
60252,46,F,um,40000
5847,42,M,um,124327
54712,55,M,um,85025
184166,56,F,l,0
65831,59,M,um,43137
140388,65,F,lm,15660
80484,30,M,um,79320
107704,50,F,lm,57004
105633,85,F,lm,9918
139890,22,F,l,10000
109338,79,F,lm,3038
46284,23,F,um,6530
77934,33,M,um,40020
55710,16,M,um,0
105352,59,M,lm,59013
175030,29,F,l,11103
91830,59,M,lm,10000
19866,69,M,um,106120
69913,62,M,um,71105
68661,29,F,um,35120
45699,59,M,um,87019
117230,29,F,lm,50006
135562,75,M,lm,26930
26626,44,M,um,120012
94396,53,F,lm,2500
16150,61,M,um,39600
72512,60,F,lm,45144
121884,23,M,lm,47000
79770,18,F,um,0
73186,29,M,um,18000
147947,37,F,w,0
13626,29,M,lm,65000
62424,45,M,um,47025
127726,41,F,lm,21122
48909,39,M,um,73005
103497,37,F,lm,60029
94280,57,F,lm,28000
34746,55,M,um,15000
25850,52,F,um,12000
182959,16,F,l,0
173818,15,F,l,0
5219,32,F,um,200040
9026,72,F,um,20052
92458,44,M,lm,40090
45596,75,M,um,98010
48389,50,M,um,60000
56788,49,F,um,50126
126302,27,M,lm,28905
177263,80,F,l,9437
155717,56,F,w,0
69477,37,M,um,90000
80131,80,M,um,25720
93063,72,M,lm,39243
55858,66,M,um,94238
10372,24,F,um,31705
153772,60,F,w,0
113422,31,M,lm,25005
46593,30,F,um,74100
63592,41,M,um,37450
12733,48,F,um,43492
89622,19,M,lm,20000
3253,21,F,um,0
52590,37,F,um,65331
109859,20,M,l,0
128626,32,F,lm,2001
145955,30,M,lm,20000
50927,71,F,um,36337
75388,40,M,um,62968
86812,18,M,lm,0
67350,69,M,um,56832
151637,25,F,w,27500
126433,50,M,lm,22942
107929,34,F,lm,29000
177123,80,F,l,9600
6740,15,M,um,0
159419,75,F,w,22490
50618,36,M,um,43098
19473,35,M,um,131733
133990,23,M,lm,23000
90216,41,F,lm,3813
123978,15,F,lm,0
123998,21,F,lm,9000
4233,48,M,um,150005
85676,60,M,lm,50000
17250,18,M,um,0
103752,21,M,lm,8000
156822,40,F,w,24180
50201,51,F,um,70004
97850,80,F,lm,64918
10920,45,F,lm,33003
75342,24,M,um,28802
893,49,F,u,5000
103221,46,F,lm,0
175201,47,F,l,0
82854,47,F,um,36008
68338,80,M,um,24096
119993,26,M,lm,15000
132881,80,F,lm,39550
45060,71,F,um,45901
168216,68,F,w,1781
86374,35,M,lm,72112
83772,56,M,um,70098
146460,46,F,lm,0
78617,72,F,l,2545
60087,53,M,um,100000
136174,19,F,lm,14000
169472,22,M,l,0
26030,40,F,um,0
132576,42,F,lm,39840
111216,25,M,lm,13000
110243,32,M,lm,55006
66831,78,F,um,7152
75179,15,M,um,0
99094,35,M,lm,48000
160749,78,F,w,21600
123524,85,F,lm,13124
144940,63,M,lm,18301
50804,72,M,um,98395
182269,45,F,l,1900
137226,24,M,w,0
136780,15,F,lm,0
56507,36,F,um,68315
77158,80,F,lm,0
175711,16,M,l,0
120906,29,M,lm,37084
105064,36,M,lm,35000
69950,60,M,um,71874
115849,61,M,lm,40928
78568,16,M,um,0
73785,27,F,um,45001
78376,43,M,um,60729
50532,80,F,um,30896
83415,59,F,um,38454
131236,58,M,lm,40058
166102,38,F,w,18000
154223,41,F,w,8712
72400,41,F,um,23030
141680,27,M,w,17000
165795,85,F,w,18140
7267,25,M,lm,60029
34285,50,F,um,28020
77226,54,F,um,32000
163499,60,F,w,0
147034,68,M,lm,30101
30934,37,M,um,140901
168801,38,M,l,16000
15018,25,M,um,45010
171109,67,M,l,14459
120890,68,F,lm,26259
100717,59,F,lm,0
73855,27,M,lm,50029
108709,18,F,lm,3500
148773,66,M,w,29668
89963,41,M,lm,69003
174594,51,F,l,11639
139150,85,M,lm,20590
62699,31,M,um,25000
16730,54,F,um,70712
136078,85,F,lm,0
106807,30,F,w,25000
183029,74,F,l,243
121377,30,M,lm,47315
158795,41,F,w,23000
160509,42,F,w,8400
181564,68,F,l,708
172183,18,M,l,0
145169,62,M,lm,18479
42271,46,M,um,0
153941,29,F,w,26000
73828,58,F,um,45017
106091,37,M,lm,58385
22803,45,F,um,88003
137105,53,M,lm,36522
165484,75,M,w,18441
81081,70,F,um,24768
118160,61,M,lm,42915
156623,56,M,w,24403
129568,78,M,lm,18437
169874,76,M,l,11459
18378,36,M,um,105721
81609,72,M,um,66769
167023,85,F,w,17400
181721,15,M,l,0
154318,26,F,w,1501
55601,23,F,w,25000
94422,19,F,lm,7230
138883,22,M,l,14605
83774,75,M,um,47957
56674,52,M,um,93400
149552,45,F,w,29000
58918,36,F,lm,46030
110546,35,M,lm,15000
181046,15,M,l,0
117634,54,F,lm,50000
65725,24,F,um,0
98579,42,F,lm,34000
58462,15,F,um,0
62501,38,M,um,90010
49027,65,M,um,53672
84849,66,M,um,37212
31335,62,M,um,98086
112442,42,M,lm,30400
62367,34,F,um,42097
8921,22,M,um,51000
13904,55,F,um,100085
132060,43,M,lm,20000
109491,24,M,lm,55577
30578,40,F,um,45000
84373,41,F,um,60417
85233,24,M,lm,45010
182062,17,F,l,0
130077,42,M,w,20000
169016,85,F,l,15832
162265,62,F,w,20405
138663,21,M,lm,30490
45971,24,F,um,25000
93676,36,F,lm,33005
62093,78,F,um,24937
83596,33,F,um,0
128971,85,F,lm,24566
136743,15,F,lm,5039
133457,69,F,lm,11378
82040,32,M,um,38000
170763,52,F,l,14858
120908,67,M,lm,15427
63271,62,M,um,50067
88607,41,M,lm,36040
52180,41,F,um,109009
22353,41,M,um,156208
154937,58,F,w,14400
152075,71,F,w,9960
174003,19,M,l,6000
152010,80,F,w,580
54287,62,M,um,19200
98357,69,M,lm,42300
85755,22,F,lm,15000
27475,57,M,um,70008
128900,35,F,lm,32000
177444,47,F,l,9180
16127,65,M,um,93120
152540,37,M,w,24000
44344,57,M,um,60000
79514,44,F,um,2
97544,65,M,lm,35000
38984,28,M,um,80000
150343,78,F,w,8006
70885,57,F,um,8000
134414,25,F,lm,0
120543,39,F,lm,28000
11032,45,F,um,41984
27524,47,M,um,36005
114651,31,M,lm,31665
138203,39,F,lm,0
68399,19,M,um,16000
160346,85,F,w,21958
181667,15,F,l,0
26981,56,M,um,130176
183478,49,F,l,1
50241,56,M,um,91001
88240,38,F,lm,37465
114124,25,F,lm,52014
136806,55,M,l,14000
144800,18,M,lm,11394
160849,23,M,l,2009
90069,53,F,lm,0
19755,35,F,um,60003
89055,71,F,lm,31982
166141,17,M,w,0
13924,46,F,um,100018
109299,34,F,lm,55800
35980,26,F,lm,7200
83447,27,F,um,0
